abase	làm mất thể diện
desert	Sa mạc
desiccant	hút ẩm
designate	chỉ định
desist	ngừng
desistance	desistance
despair	tuyệt vọng
desperado	NGƯỜI LIỀU MẠNG
desperate	tuyệt vọng
despicable	đáng khinh
despite	mặc dù
despond	tuyệt vọng
despondent	nản lòng
despot	bạo chúa
despotism	chế độ độc tài
destitute	nghèo khổ
desultory	rời rạc
deter	ngăn cản
deteriorate	hư hỏng
determinate	rỏ ràng
determination	sự quyết tâm
deterrent	ngăn cản
detest	ghét
detract	làm giảm uy tín
detriment	tổn hại
detrude	detrude
deviate	đi chệch
devilry	ảo thuật
deviltry	deviltry
devious	quanh co
devise	devise
devout	sùng đạo
dexterity	khéo tay
diabolic	ác hiểm
diacritical	phân biệt
diagnose	chẩn đoán
diagnosis	chẩn đoán
dialect	thổ ngữ
dialectician	nhà biện chứng học
dialogue	hội thoại
diaphanous	trong mờ
diatomic	có hai nguyên từ
diatribe	đấu khẩu
dictum	châm ngôn
didactic	giáo khoa
difference	Sự khác biệt
differentia	differentia
differential	vi phân
differentiate	Phân biệt
diffidence	thiếu tự tin
diffident	thiếu tự tin
diffusible	diffusible
diffusion	khuếch tán
dignitary	người có chức vị
digraph	chữ kết lại thành một âm
digress	lạc đề
dilapidated	đổ nát
dilate	giãn ra
dilatory	chậm chạp
dilemma	tình trạng khó xử
dilettante	tài tử
diligence	siêng năng
dilute	loãng
diminution	phòng giảm
dimly	lờ mờ
diphthong	Nguyên âm đôi
diplomacy	ngoại giao
diplomat	nhà ngoại giao
diplomatic	ngoại giao
diplomatist	nhà ngoại giao
disagree	không đồng ý
disallow	disallow
disappear	biến mất
disappoint	thất vọng
disapprove	không tán thành
disarm	giải giáp
disarrange	làm lộn xộn
disavow	từ chối
disavowal	không thừa nhận
disbeliever	người không tin ai
disburden	giải bày tâm sự
disburse	giải ngân
discard	loại bỏ
discernible	có thể nhận rỏ
disciple	môn sinh
disciplinary	kỷ luật
discipline	kỷ luật
disclaim	TỪ CHỐI
discolor	làm lu mờ
discomfit	làm bối rối
discomfort	khó chịu
disconnect	ngắt kết nối
disconsolate	ảm đạm
discontinuance	rời nhau
discord	bất hòa
discountenance	không tán thành
discover	Khám phá
discredit	mất uy tín
discreet	kín đáo
discrepant	sự chênh lệch
discriminate	phân biệt
discursive	rời rạc
discussion	thảo luận
disenfranchise	không quyên góp cho nhà thờ
disengage	buông tha
disfavor	không ưa
disfigure	làm xấu
dishabille	áo dài rộng của đàn bà
dishonest	Không trung thực
disillusion	tỉnh mộng
disinfect	Khử trùng
disinfectant	thuốc tẩy uế
disinherit	tước quyền
disinterested	vô tư
disjunctive	ly tiếp
dislocate	chia xẻ
dismissal	giải tán
dismount	làm ngã ngựa
disobedience	không vâng lời
disobedient	bất tuân
disown	disown
disparage	làm giãm giá trị
disparity	khác biệt
dispel	Dispel
dispensation	phân phát
displace	Displace
dispossess	trừ ma quỉ
disputation	cuộc tranh luận
disqualify	loại ra
disquiet	lo âu
disregard	xem thường
disreputable	làm ô danh
disrepute	tiếng xấu
disrobe	cởi quần áo
disrupt	phá vỡ
dissatisfy	bất mản
dissect	phân tích
dissection	sự mổ xẻ
dissemble	bỏ qua
disseminate	Phổ biến
dissension	phân tranh
dissent	bất đồng ý kiến
dissentient	người phản đối
dissentious	dissentious
dissertation	luận án
disservice	báo hại
dissever	chia ra
dissimilar	khác nhau
dissipate	tiêu tan
dissipation	phân tán
dissolute	phóng đãng
dissolution	giải tán
dissolve	hòa tan
dissonance	không hợp điệu
dissonant	chói tai
dissuade	khuyên can
dissuasion	sự khuyên can
disyllable	disyllable
distemper	sự đau
distend	phình lên
distensible	có thể làm nở
distention	làm phồng lên
distill	chưng cất
distillation	chưng cất
distiller	máy dùng để nấu
distinction	phân biệt
distort	xuyên tạc
distrain	tịch biên
distrainor	distrainor
distraught	điên cuồng
distrust	nghi ngờ
disunion	không thống nhất
diurnal	thuộc về Ban ngày
divagation	vơ vẩn
divergent	khác nhau
diverse	phong phú
diversion	dẫn dòng
diversity	đa dạng
divert	divert
divertible	divertible
divest	cởi quần áo
divination	thuật bói toán
divinity	thần
divisible	chia hết cho
divisor	số chia
divulge	tiết lộ
divulgence	divulgence
docile	ngoan ngoãn
docket	sổ ghi án
doe	con hoẳng cái
dogma	giáo lý
dogmatic	độc đoán
dogmatize	đạo lý
doleful	sầu thãm
dolesome	dolesome
dolor	dolor
dolorous	đau thương
domain	miền
domesticity	sự thuần phục
domicile	cư trú
dominance	ưu thế
dominant	có ưu thế
dominate	thống trị
domination	quyền thống trị
domineer	tỏ vẻ hách dịch
donate	tặng
donator	Donator
donee	người được tặng
donor	nhà tài trợ
dormant	không hoạt động
doublet	song lập
doubly	gấp đôi
dowry	của hồi môn
drachma	tiền cổ hy lạp
dragnet	lưới đánh cá
dragoon	dùng thủ đoạn
drainage	thoát nước
dramatist	nhà soạn kịch
dramatize	tác phẫm sửa đổi thành kịch bản
drastic	quyết liệt
drought	hạn hán
drowsy	buồn ngủ
drudgery	làm cực nhọc
dubious	mơ hồ
duckling	vịt con
ductile	tánh dể bảo
duet	song ca
dun	người đi đòi nợ
duplex	đôi
duplicity	sự hai lòng
durance	Durance
duration	thời gian
duteous	vâng lời
dutiable	tính thuế
dutiful	vâng lời
dwindle	giãm bớt
dyne	về vật lý
earnest	nghiêm trang
earthenware	đồ bằng đất
eatable	ăn được
ebullient	tánh bồng bột
eccentric	kỳ dị
eccentricity	độ lệch tâm
eclipse	nhật thực
economize	tiết kiệm
ecstasy	sự ngây ngất
ecstatic	ngây ngất
edible	ăn được
edict	pháp lịnh
edify	đạo đức
editorial	biên tập
educe	bay ra
efface	làm lu mờ
effect	hiệu ứng
effective	có hiệu lực
effectual	có hiệu qủa
effeminacy	effeminacy
effeminate	ẻo lả
effervesce	bồng bột
effervescent	hăng hái
effete	không hiệu qủa
efficacious	hiệu nghiệm
efficacy	hiệu quả
efficiency	hiệu quả
efficient	Có hiệu quả
efflorescence	rã thành bột
efflorescent	efflorescent
effluvium	effluvium
effrontery	vô liêm sĩ
effulgence	effulgence
effuse	rót ra
effusion	sự bày tỏ
egoism	tánh ích kỷ
egoist	người vị kỷ
egotism	tự phụ
egotist	thuyết tự ngã chí thượng
egregious	phi thường
egress	đi ra
eject	eject
elapse	trôi mau
elasticity	đàn hồi
electrolysis	điện
electrotype	bản in bằng điện
elegy	bài hát ta thán
element	thành phần
elicit	gợi ra
eligible	đủ điều kiện
eliminate	bỏ
Elizabethan	Elizabethan
elocution	văn thể
eloquent	có tài hùng biện
elucidate	Làm sáng tỏ
elude	trốn tránh
elusion	elusion
emaciate	hốc hác
emanate	xông lên
emancipate	phóng thích
embargo	ngăn cấm
embark	tham gia
embarrass	lúng túng
embellish	tô điểm
embezzle	biển thủ
emblazon	đeo huy chương
emblem	biểu tượng
embody	hiện thân
embolden	dũng cảm
embolism	chứng tắc quản
embroil	làm lộn xộn
emerge	hiện ra
emergence	sự xuất hiện
emergent	ló ra
emeritus	danh dự
emigrant	người di cư
emigrate	di cư
eminence	mô đất
eminent	nổi tiếng
emit	Emit
emphasis	nhấn mạnh
emphasize	nhấn mạnh
emphatic	giọng hống hách
employee	Nhân viên
employer	sử dụng lao động
emporium	trung tâm thương mại
empower	trao quyền
emulate	thi đua
enact	ban hành
enamor	enamor
encamp	Encamp
encomium	Lời khen ngợi
encompass	Encompass
encore	lần nữa
encourage	khuyến khích
encroach	lấn đất
encumber	ngăn trở
encyclical	Thông điệp
encyclopedia	Bách khoa toàn thư
endanger	gây nguy hiểm
endear	thân mật
endemic	đặc hữu
endue	ban cho
endurable	dẻo dai
endurance	sức chịu đựng
energetic	năng lượng
enervate	không có nghị lực
enfeeble	Enfeeble
enfranchise	phóng thích
engender	gây ra
engrave	khắc
engross	sao
enhance	nâng cao
enigma	câu đố
enjoin	ra lịnh
enkindle	xúi dục
enlighten	minh bạch
enlist	chiêu mộ
enmity	thù hận
ennoble	cao thượng
enormity	tội nặng
enormous	khổng lồ
enrage	Tức giận
enrapture	mừng quýnh
enshrine	cất giữ
ensnare	Ensnare
entail	đòi hỏi
entangle	entangle xảy ra
enthrall	say mê
enthrone	tôn lên ngôi
enthuse	đam mê
enthusiastic	nhiệt tâm
entirety	trọn vẹn
entomology	côn trùng
entrails	ruột
entreaty	khẩn cầu
entree	đi vào
entrench	đắp lủy
entwine	ôm chặt
enumerate	enumerate
epic	sử thi
epicure	người sành ăn
Epicurean	Epicurean
epicycle	ngoại luân
epicycloid	ngoại hải tuyến
epidemic	bệnh dịch
epidermis	da ngoài
epigram	lời chế nhạo
epilogue	diển văn
epiphany	hiển linh
episode	tập phim
epitaph	chữ khắc trên mộ
epithet	hình dung từ
epitome	trích yếu
epizootic	bịnh dịch thú
epoch	kỷ nguyên
epode	epode
equalize	Equalize
equanimity	bình thản
equestrian	người cỡi ngựa
equilibrium	thế cân bằng
equitable	công bình
equity	công bằng
equivalent	tương đương
equivocal	không phân minh
equivocate	không phân minh
eradicate	nhổ tận gốc
errant	lang thang
erratic	không đều
erroneous	sai
erudite	uyên bác
erudition	sự uyên bác
eschew	tránh
espy	thoạt nhìn
esquire	Ngài
essence	Bản chất
esthetic	thuộc về mỹ thuật
estimable	đáng mến
estrange	giận người nào
estuary	cửa sông
et	et
eugenic	sự giao hợp hai giống khác nhau
eulogize	tán dương
eulogy	tán thưởng
euphemism	uyển khúc ngữ pháp
euphonious	êm tai
euphony	sự hòa âm
eureka	eureka
evade	né tránh
evanesce	biến mất
evanescent	biến mất
evangelical	Tin Mừng
evangelist	người truyền giáo
evasion	trốn
eventual	cuối cùng
evert	lộn từ trong ra ngoài
evict	đuổi
evidential	chứng tích
evince	tỏ ra
evoke	Evoke
evolution	sự phát triển
evolve	tiến hóa
exacerbate	trầm trọng thêm
exaggerate	thổi phồng
exasperate	làm đau thêm
excavate	đào
exceed	quá
excel	excel
excellence	xuất sắc
excellency	xuất chúng
excellent	thông minh
excerpt	đoạn trích
excess	thặng dư
excitable	dể bị kích thích
excitation	kích thích
exclamation	cảm thán
exclude	loại trừ
exclusion	loại trừ
excrescence	cục bứu
excretion	sự bài tiết
excruciate	hành hạ
excursion	du ngoạn
excusable	có thể tha thứ
execrable	đáng ghét
execration	ghét đắng
executor	người thi hành
exegesis	lời giải thích
exemplar	khuôn
exemplary	làm gương
exemplify	nêu gương, lam mâu mực
exempt	miễn
exert	gắng sức
exhale	thở ra
exhaust	thoát ra
exhaustible	có thể bị hao mòn
exhaustion	kiệt sức
exhaustive	đầy đủ
exhilarate	hoạt động lại
exhume	moi lên
exigency	việc bất ngờ
exigent	khẩn cấp
existence	đời
exit	lối ra
exodus	cuộc di cư
exonerate	tha
exorbitance	quá độ
exorbitant	quá đáng
exorcise	trừ tà ma
exotic	kỳ lạ
expand	phát triển
expanse	khoảng rộng
expansion	sự bành trướng
expatriate	bỏ quốc tịch
expect	chờ đợi
expectancy	thọ
expectorate	khạc nhổ
expediency	phương tiện
expedient	láu cá
expedite	giục
expeditious	giản tiện
expend	xài
expense	kinh phí
expiate	chuộc tội
explicate	cắt nghỉa
explicit	minh bạch
explode	nổ tung
explosion	tiếng nổ
explosive	nổ
exposition	triển lãm
expository	bình luận
expostulate	khuyên can
exposure	sự phơi nhiễm
expressive	biểu cảm
expulsion	trục xuất
extant	còn sót lại
extemporaneous	ứng khẩu
extempore	làm lập tức
extensible	mở rộng
extension	sự mở rộng
extensive	sâu rộng
extensor	duổi ra
extenuate	làm suy nhược
exterior	ngoài
external	ngoài
extinct	tắt
extinguish	dập tắt
extol	khen ngợi
extort	tống tiền
extortion	tống tiền
extradite	bắt và giao trả
extradition	dẫn độ
extrajudicial	phi pháp
extraneous	không liên quan
extraordinary	phi thường
extravagance	hoang phí
extravagant	hoang phí
extremist	cực đoan
extremity	ngọn cây
extricate	thoát ra
extrude	đuổi
exuberance	dồi dào
exuberant	phong phú
fabricate	Chế tạo
fabulous	hoang đường
facet	mặt nhỏ
facetious	khôi hài
facial	ở mặt
facile	dể chịu
facilitate	tạo điều kiện
facility	cơ sở
facsimile	mô phỏng
faction	đảng phái
factious	thuộc về đảng phái
fallacious	giả dối
fallacy	lối ngụy biện
fallible	có thể làm lổi
fallow	đất bỏ hoang
famish	bỏ đói
fanatic	người cuồng tín
fancier	người sành sỏi
fanciless	fanciless
fastidious	khó tánh
fathom	ôm chặt
fatuous	khờ dại
faulty	sai lầm
faun	thần điền dã
fawn	hươu con
fealty	lời thề trung thành
feasible	thực hiện được
federate	liên hiệp
feint	sự làm bộ
felicitate	khen ngợi
felicity	hạnh phúc
felon	dữ tợn
felonious	phạm tội sát nhân
felony	tội
feminine	giống cái
fernery	chổ có nhiều cây dương xỉ
ferocious	hung dữ
ferocity	hung ác
fervent	nhiệt tâm
fervid	sốt sắng
fervor	sự hăng hái
festal	thuộc về ngày lể
festive	vui vẻ
fete	ngày lể
fetus	thai nhi
feudal	chế độ phong kiến
feudalism	chế độ phong kiến
fez	thứ mũ của thổ nhỉ kỳ
fiasco	thất bại hoàn toàn
fickle	hay thay đổi
fictitious	tưởng tượng
fidelity	lòng trung thành
fiducial	giao thác di sản
fief	thái ấp
filibuster	bọn giặc biển
finale	finale
finality	tính chất dứt khoát
finally	cuối cùng
financial	tài chính
financier	người xuất vốn
finery	luyện kim khí
finesse	Sự khéo léo
finite	có hạn
fiscal	ngân sách
fishmonger	người bán cá
fissure	đường nứt
fitful	tánh bất thường
fixture	vật cố định
flag-officer	cờ-đốc
flagrant	rõ ràng
flamboyant	Hoa phượng
flatulence	lòng tự phụ
flection	flection
fledgling	thiếu kinh nghiệm
flexible	Linh hoạt
flimsy	mỏng mảnh
flippant	suồng sả
floe	tảng nước đá trôi trên mặt biển
flora	thực vật
floral	hoa
florid	tươi như hoa
florist	người bán hoa
fluctuate	thay đổi
fluctuation	biến động
flue	thải
fluent	lưu loát
fluential	fluential
flux	tuôn ra
foggy	sương mù
foible	chổ yếu
foist	thêm vào
foliage	lá cây
folio	số trang của sách
folk-lore	dân gian truyền thuyết
fondle	vuốt ve
foolery	trò khôi hài
foot-note	chân-note
foppery	công tử bột
foppish	kiêu căng
forbearance	sự kiêng cử
forby	cho bởi
forcible	mạnh dạn
forecourt	trước tòa án
forejudge	trước vành móng ngựa
forepeak	forepeak
foreshore	bãi biển
forebode	chỉ điểm
forecast	dự báo
forecastle	phần mũi tàu đến cột buồm
foreclose	khai trừ
forefather	tổ tiên
forego	đi trước
foreground	vấn đề xung quanh
forehead	trán
foreign	ngoại quốc
foreigner	người nước ngoài
foreknowledge	tiên tri
foreman	người cai
foreordain	đoán trước
foreordination	foreordination
forerun	forerun
foresail	buồm ở phía trước
foresee	ForeSee
foresight	sự đoán trước
foretell	nói trước
forethought	tính toán cẩn thận
forfeit	đã mất lượt
forfend	forfend
forgery	sự giả mạo
forgo	từ bỏ
formation	sự hình thành
formidable	dữ dội
formula	công thức
forswear	từ bỏ
forte	sở trường
forth	trước
forthright	quả quyết
fortify	Fortify
fortitude	nghị lực
foursome	bốn người
fracture	gãy xương
fragile	dễ vỡ
frailty	lổi
frankincense	nhựa có mùi hương
frantic	điên cuồng
fraternal	như anh em
fraudulence	gian lận
fraudulent	gian lận
fray	cuộc xung đột
freemason	người đàn bà tự do
freethinker	tự do tư tưởng
free	miễn phí
frequency	tần số
fresco	bích họa
freshness	tươi mát
fretful	làm phiền
frightful	khủng khiếp
frigid	lạnh buốt xương
frigidarium	frigidarium
frivolity	nông nổi
frivolous	hư không
frizz	tóc uốn dợn
frizzle	chiên
frolicsome	hay vui đùa
frontier	biên giới
frowzy	dơ dáy
frugal	thanh đạm
fruition	kết quả
fugacious	thoáng qua
fulcrum	điểm tựa
fulminate	phun ra
fulsome	làm cho chán
fumigate	xông khói
functionary	viên chức
fundamental	căn bản
fungible	thể thay thế được
fungous	có hình nấm
fungus	nấm
furbish	chùi
furlong	đơn vị đo chiều dài
furlough	nghỉ phép
furrier	người bán da thú
further	thêm nữa
furtherance	Để thực
furtive	lén lút
fuse	cầu chì
fusible	nóng chảy
futile	vô ích
futurist	người theo chủ nghỉa vị lai
gauge	gauge
gaiety	vui tươi
gaily	vui vẻ
gait	dáng đi
gallant	dũng cảm
galore	nhiều qúa
galvanic	cười gượng
galvanism	lưu điện học
galvanize	mạ
gamble	cờ bạc
gambol	đùa giởn
gamester	người cờ bạc
gamut	âm giai
garnish	Trình bày
garrison	quân đội trú phòng
garrote	Garrote
garrulous	già chuyện
gaseous	khí
gastric	dạ dày
gastritis	chứng sưng dạ dày
gastronomy	nấu ăn ngon
gendarme	Gendarme
genealogy	phả hệ
genealogist	phả hệ học
generality	tổng quát
generalize	generalize
generally	nói chung là
generate	phát ra
generic	chung
generosity	rộng lượng
genesis	sự bắt đầu
geniality	sự tài ba
genital	cơ quan sinh dục
genitive	tánh cách
genteel	lịch sự
gentile	Gentile
geology	địa chất học
germane	Gecman
germinate	nảy mầm
gestation	có thai
gesticulate	bày tỏ
gesture	cử chỉ
ghastly	kinh khủng
gibe	chế giểu
giddy	ham chơi
gigantic	kếch sù
giver	người tặng
glacial	băng
glacier	băng hà
gladden	làm vui lòng
glazier	thợ lắp kính
glimmer	ánh sáng yếu dần
glimpse	nhìn thoáng qua
globose	tròn như quả cầu
globular	hình cầu
glorious	vẻ vang
glutinous	dính
gluttonous	tánh ham ăn
gnash	nghiến răng
Gordian	Gordian
gourmand	người sành ăn
gosling	ngỗng con
gossamer	sa
gourd	quả bầu
graceless	vô duyên
gradation	sự thêm bớt
gradient	dốc
granary	kho
grandeur	sự cao cả
grandiloquent	hay khoa trương
grandiose	vĩ đại
grantee	người nhận của tặng
grantor	người cho
granular	hột
granulate	kết tinh
granule	hột nhỏ
grapple	vật lộn
gratification	sự vừa lòng
gratify	làm vừa lòng
gratuitous	cho không
gratuity	tiền thưởng
gravity	Trọng lực
gregarious	thành bầy
grenadier	lính ném lựu đạn
grief	nỗi buồn
grievance	khiếu nại
grievous	đau khổ
grimace	nhăn nhó
grindstone	đá mài
grisly	ghê tởm
grotesque	kỳ quái
grotto	hang
ground	đất
guess	phỏng đoán
guile	lừa đảo
guileless	thành thật
guinea	guinea
guise	bề ngoài
gullible	dể tin
gumption	cách giao thiệp
gusto	thú làm việc
guy	chàng
guzzle	ăn tham
gynecocracy	gynecocracy
gynecology	phụ nhân học
gyrate	xoay quanh
gyroscope	máy con quay
habitable	có thể ở được
habitant	cư ngụ
habitual	thường lệ
habitude	thể chất
hackney	làm thành tầm thường
haggard	xanh xao
halcyon	chim sa
hale	mạnh khỏe
handwriting	chữ viết tay
hanger-on	tổ chức vì tư lợi
happy-go-lucky	hạnh phúc-đi-may mắn
harangue	đọc diển văn trước đám đông
harass	quấy rối
harbinger	điềm báo trước
hard-hearted	vô tình
hardihood	sự can đảm
harmonious	hài hòa
havoc	sự tàn phá
hawthorn	cây sơn trà
hazard	nguy hiểm
head	cái đầu
heartrending	đau lòng
heathenish	heathenish
heedless	không chú ý
heifer	bò cái tơ
heinous	hung bạo
hemorrhage	xuất huyết
hemorrhoids	bệnh trĩ
henchman	tay sai
henpeck	ăn hiếp chồng
heptagon	Thất giác
heptarchy	thất hùng chánh trị
herbaceous	thuộc về cỏ
herbarium	phòng sưu tập cỏ khô
herbivorous	ăn cỏ
hereditary	di truyền
heredity	thừa kế
heresy	Dị giáo
heretic	heretic
heritage	gia tài
hernia	bịnh sản khí
hesitancy	sự do dự
hesitant	do dự
hesitation	sự lưỡng lự
heterodox	trái với ý kiến
heterogeneity	không đồng nhất
heterogeneous	không đồng nhất
heteromorphic	dị hình
hexangular	hexangular
hexapod	hexapod
hexagon	Hình lục giác
hiatus	khuyết điểm
hibernal	thuộc về mùa đông
Hibernian	Hibernian
hideous	gớm guốc
hilarious	vui vẻ
hillock	đồi nhỏ
hinder	cản trở
hindmost	sau cùng
hindrance	cản trở
hirsute	xồm xoàm
hoard	tích trử
hoarse	giọng khan
homage	tôn kính
homogeneity	đồng thể
homogeneous	đồng tính
homologous	tương đồng
homonym	chữ đồng âm dị nghĩa
homophone	chữ đồng âm
honorarium	tiền công của bác sĩ
hoodwink	lừa phỉnh
horde	một tốp
hosiery	hàng dệt kim
hospitable	hiếu khách
hospitality	lòng hiếu khách
hostility	thù địch
huckster	người bán rong
humane	nhân đạo
humanitarian	nhân đạo
humanize	hóa thành nhân từ
humbug	mánh khoé
humiliate	làm nhục
hussar	khinh kỵ binh
hustle	chen lấn
hybrid	hỗn hợp
hydra	vật khó trừ tuyệt
hydraulic	thủy lực
hydrodynamics	thủy động học
hydroelectric	thủy điện
hydromechanics	hydromechanics
hydrometer	máy trắc thủy
hydrostatics	thủy tỉnh học
hydrous	ngậm nước
hygiene	vệ sinh
hypercritical	phê bình quá nghiêm khắc
hypnosis	thôi miên
hypnotic	thôi miên
hypnotism	thuật thôi miên
hypnotize	thôi miên
hypocrisy	đạo đức giả
hypocrite	đạo đức giả
hypodermic	dưới da
hypotenuse	cạnh huyền
hypothesis	giả thuyết
hysteria	thần kinh loạn
ichthyic	ichthyic
ichthyology	nghiên cứu về ngư loại học
ichthyosaurs	thằn lằn cá
icily	lãnh đạm
iciness	iciness
icon	biểu tượng
iconoclast	người đập phá cách
idealize	quan niệm hóa
idiom	cách diễn đạt
idiosyncrasy	khí chất
idolize	tôn thờ
ignoble	thấp hèn
ignominious	ô nhục
Iliad	Iliad
illegal	bất hợp pháp
illegible	không đọc được
illegitimate	không hợp pháp
illiberal	không rộng rải
illicit	trái phép
illimitable	vô hạn
illiterate	MU chư
ill-natured	hung ác
illogical	bất hợp lý
illuminant	soi sáng
illuminate	Illuminate
illumine	làm minh bạch
illusion	ảo giác
illusive	giả dối
illusory	hão huyền
imaginable	có thể tưởng tượng
imaginary	tưởng tượng
imbibe	hấp thụ
imbroglio	trạng thái rắc rối
imbrue	làm dơ
imitation	sự bắt chước
imitator	người hay bắt chước
immaculate	tinh khiết
immaterial	vô hình
immature	còn non nớt
immeasurable	bao la
immense	bao la
immerse	đắm
immersion	ngâm
immigrant	di trú
immigrate	di trú
imminence	sắp xảy ra
imminent	sắp xảy ra
immiscible	không thể trộn lộn
immoral	trái với đạo đức
immortalize	bất hủ
immovable	bất động
immune	miễn dịch
immutable	bất biến
impair	GIẢM KHẢ
impalpable	rất mịn
impartial	công bình
impassable	không thể qua
impassible	vô tình
impassive	trơ trơ
impatience	thiếu kiên nhẫn
impeccable	hoàn hảo
impecunious	túng tiền
impede	làm ngăn trở
impel	xô
impend	đang đe dọa
imperative	bắt buộc
imperceptible	không thể trông thấy
imperfectible	imperfectible
imperil	làm nguy hiểm
imperious	làm phách
impermissible	cấm
impersonal	nhân hóa
impersonate	mạo danh
impersuadable	impersuadable
impertinence	ngạo mạn
imperturbable	không chuyển động
impervious	không thấm nước
impetuosity	dử dội
impetuous	hung hăng
impetus	thúc đẩy
impiety	sự bất tín
impious	không tính ngưởng
implausible	không hợp lý
impliable	impliable
implicate	kết với nhau
implicit	ngầm
imply	bao hàm, ngụ ý
impolitic	thất sách
importation	nhập khẩu
importunate	làm khó chịu
importune	xin
impotent	bất lực
impoverish	suy nhược
impracticable	không thể áp dụng
impregnable	không thể cướp đoạt
impregnate	xâm nhập vào
impromptu	không sắp đặt trước
improper	không đúng
impropriety	không thích hợp
improvident	không dự liệu
improvise	improvise
imprudent	hờ hửng
impudence	lời nói vô liêm sĩ
impugn	phản đối
impulsion	cãm tình nhứt thời
impulsive	bốc đồng
impunity	trạng thái miển tội
impure	không trong sạch
impute	đổ tội
inaccessible	không thể tiếp cận
inaccurate	không chính xác
inactive	không hoạt động
inadequate	không thỏa đáng
inadmissible	không thể thừa nhận
inadvertent	vô ý
inadvisable	không lưu ý
inane	trống không
inanimate	vô hồn
inapprehensible	không giải thích được
inapt	không có tài trí
inarticulate	câm
inaudible	khó nghe
inborn	Bẩm sinh
inbred	tự nhiên
incandescence	sự đốt cháy
incandescent	chiếu sáng
incapacitate	bất tài
incapacity	không đủ năng lực
incarcerate	tống giam
incendiary	người đốt nhà
incentive	khích lệ
inception	khởi đầu
inceptive	sơ khai
incessant	không ngớt
inchmeal	từng bước
inchoate	chưa phát triển
inchoative	mở đầu
incidence	tỷ lệ mắc bệnh
incident	biến cố
incidentally	tình cờ
incinerate	thiêu
incipience	sự bắt đầu
incipient	mới bắt đầu
incisor	răng cửa
incite	Incite
incitement	xúi giục
incoercible	incoercible
incoherence	không dính nhau
incoherent	rời rạc
incombustible	không thể phá hủy
incomparable	có một không hai
incompatible	không tương thích
incompetence	không có khả năng
incompetent	không đủ năng lực
incomplete	chưa hoàn thiện
incomprehensible	không thể hiểu được
incompressible	bóp nhỏ lại
inconceivable	phi thường
incongruous	vô lý
inconsequential	không đáng kể
inconsiderable	không có giá trị
inconsistent	không tương xứng
inconstant	hay thay đổi
incontrovertible	không thể chối cải
inconvenient	bất tiện
indefensible	không thể giữ
indefinitely	vô thời hạn
indelible	không thế làm mất
indescribable	không thể tả
indestructible	không thể hủy diệt
indicant	indicant
indicator	chỉ số
indict	truy tố
indigence	bần cùng
indigenous	bản địa
indigent	nghèo khổ
indigestible	không tiêu
indigestion	chứng khó tiêu
indignant	tức giận
indignity	đê tiện
indiscernible	không thể nhận rỏ
indiscreet	không cẩn thận
indiscriminate	không phân biệt
indispensable	cần thiết
indistinct	không minh bạch
indivertible	indivertible
indivisible	không thể chia đúng
indolence	làm biếng
indolent	không đau
indomitable	bất khuất
induct	nhậm chức
indulgence	khoan hồng
indulgent	nhu nhược
inebriate	say
inedible	không thể ăn được
ineffable	không thể chỉ bảo được
inefficient	không hiệu quả
inefficiency	không hiệu quả
ineligible	không đủ tư cách
inept	đần độn
inert	bất động
inestimable	vô giá
inevitable	chắc chắn xảy ra
inexcusable	không thể thi hành
inexhaustible	vô hạn
inexorable	khó hiểu
inexpedient	không thích đáng
inexpensive	rẻ tiền
inexperience	tính thiếu kinh nghiệm
inexplicable	không thể giải thích
inexpressible	không diển tả được
inextensible	không được gia hạn
infallible	công hiệu
infamous	ô nhục
infamy	bẩn thỉu
inference	sự suy luận
infernal	âm phủ
infest	Infest
infidel	không tín ngưỡng
infidelity	sự không chung thủy
infinite	vô hạn
infinity	vô cực
infirm	tàn tật
infirmary	bệnh viện
infirmity	gắn vào
inflammable	cháy
inflammation	viêm
inflexible	không nao núng
influence	ảnh hưởng
influential	có ảnh hưởng
influx	dòng
infrequence	infrequence
infrequent	ít xảy ra
infringe	vi phạm
infuse	Infuse
infusion	truyền
ingenious	khéo léo
ingenuity	Khéo léo
ingenuous	ngây thơ
inglorious	không vẻ vang
ingraft	đem vào
ingratiate	lấy lòng
ingratitude	sự vong ân
ingredient	thành phần
inherence	tự nhiên
inherent	vốn có
inhibit	ức chế
inhospitable	không ưa
inhuman	vô nhân đạo
inhume	mai táng
inimical	nghịch
iniquity	sự bất công
initiate	khởi đầu
inject	bơm
injunction	lệnh
inkling	sự thoa mực
inland	nội địa
inlet	đầu vào
inmost	ở hầu hết các
innocuous	không hại
innovate	đổi mới
innuendo	ám chỉ
innumerable	vô số
inoffensive	không làm mất lòng
inopportune	không thích nghi
inquire	hỏi thăm
inquisition	sự tìm tòi
inquisitive	tò mò
inquisitor	người điều tra
inroad	sự xâm lấn
insatiable	không chán
inscribe	ghi lên
inscrutable	không dò xét được
insecure	không an toàn
insensible	chết ngất
insentient	không có cảm giác
inseparable	không thể tách rời
insidious	xảo quyệt
insight	sáng suốt
insignificance	không quan trọng
insignificant	tầm thường
insinuate	nhét nhẹ
insipid	vô vị
insistence	khăng khăng
insistent	van lơn
insolence	tính xấc láo
insolent	xấc xược
insomnia	mất ngủ
inspector	viên thanh tra
instance	trường hợp
instant	lập tức
instantaneous	tức thì
instigate	Xúi giục
instigator	người xúi giục
